X,Y,Device Type,INST_NAME,DESCRIPTION,JB_NAME,NODE_NUM,INPUT_NUM,OUTPUT_NUM,ASM_NAME,TRUNK_NUM,Added
38.0288,-67.2529,VBA-4E4A-KE5-ZEJQ_E2L,L04PRC-R1-JB01-AM01,,L04PRC-R1-JB01,12A,,,L04PRC-R1-ASM01,0,0
48.8288,-67.2529,VBA-4E-KE5-IL,L04PRC-R1-JB02-AM01,,L04PRC-R1-JB02,1,,,L04PRC-R1-ASM01,0,0
55.2288,-67.2529,VBA-4E4A-KE5-ZEJQ_R,L04PRC-R1-JB02-AM02,,L04PRC-R1-JB02,10A,,,L04PRC-R1-ASM01,0,0
38.0288,-77.2529,VBA-4E-KE5-IL,L04PRC-R1-JB03-AM01,,L04PRC-R1-JB03,2,,,L04PRC-R1-ASM01,0,0
44.4288,-77.2529,VBA-4E-KE5-IL,L04PRC-R1-JB04-AM01,,L04PRC-R1-JB04,3,,,L04PRC-R1-ASM01,0,0
50.8288,-77.2529,VBA-4E-KE5-IL,L04PRC-R1-JB05-AM01,,L04PRC-R1-JB05,4,,,L04PRC-R1-ASM01,0,0
38.0288,-89.5029,VBA-4E-KE5-IL,L04PRC-R1-JB05-AM02,,L04PRC-R1-JB05,5,,,L04PRC-R1-ASM01,0,0
44.4288,-89.5029,VBA-4E4A-KE5-ZEJQ_E2L,L04PRC-R1-JB05-AM03,,L04PRC-R1-JB05,10B,,,L04PRC-R1-ASM01,0,0
55.2288,-89.5029,VBA-4E4A-KE5-ZEJQ_E2L,L04PRC-R1-JB05-AM04,,L04PRC-R1-JB05,11A,,,L04PRC-R1-ASM01,0,0
38.0288,-99.5029,VBA-4E-KE5-IL,L04PRC-R1-JB06-AM01,,L04PRC-R1-JB06,6,,,L04PRC-R1-ASM01,0,0
44.4288,-99.5029,VBA-4E-KE5-IL,L04PRC-R1-JB06-AM02,,L04PRC-R1-JB06,7,,,L04PRC-R1-ASM01,0,0
50.8288,-99.5029,VBA-4E-KE5-IL,L04PRC-R1-JB07-AM01,,L04PRC-R1-JB07,8,,,L04PRC-R1-ASM01,0,0
38.0288,-111.7529,VBA-4E-KE5-IL,L04PRC-R1-JB07-AM02,,L04PRC-R1-JB07,9,,,L04PRC-R1-ASM01,0,0
44.4288,-111.7529,VBA-4E4A-KE5-ZEJQ_E2L,L04PRC-R1-JB07-AM03,,L04PRC-R1-JB07,11B,,,L04PRC-R1-ASM01,0,0
55.2288,-111.7529,VBA-4E4A-KE5-ZEJQ_E2L,L04PRC-R1-JB08-AM01,,L04PRC-R1-JB08,12B,,,L04PRC-R1-ASM01,0,0
69.9326,-67.2529,VBA-4E-KE5-IL,L04PRC-R2-JB01-AM01,,L04PRC-R2-JB01,1,,,L04PRC-R2-ASM01,0,0
76.3326,-67.2529,VBA-4E-KE5-IL,L04PRC-R2-JB01-AM02,,L04PRC-R2-JB01,2,,,L04PRC-R2-ASM01,0,0
82.7326,-67.2529,VBA-4E-KE5-IL,L04PRC-R2-JB01-AM03,,L04PRC-R2-JB01,3,,,L04PRC-R2-ASM01,0,0
85.7326,-67.2529,VBA-4A-KE5-IJL_UJL,L04PRC-R2-JB01-AM04,,L04PRC-R2-JB01,16,,,L04PRC-R2-ASM01,0,0
69.9326,-77.2529,VBA-4E4A-KE5-ZEJQ_R,L04PRC-R2-JB01-AM05,,L04PRC-R2-JB01,4A,,,L04PRC-R2-ASM01,0,0
80.7326,-77.2529,VBA-4E4A-KE5-ZEJQ_E2L,L04PRC-R2-JB02-AM01,,L04PRC-R2-JB02,4B,,,L04PRC-R2-ASM01,0,0
69.9326,-89.5029,VBA-4E4A-KE5-ZEJQ_E2L,L04PRC-R2-JB02-AM02,,L04PRC-R2-JB02,5A,,,L04PRC-R2-ASM01,0,0
80.7326,-89.5029,VBA-4E4A-KE5-ZEJQ_E2L,L04PRC-R2-JB03-AM01,,L04PRC-R2-JB03,5B,,,L04PRC-R2-ASM01,0,0
101.8364,-67.2529,VBA-4E4A-KE5-ZEJQ_E2L,L04PRC-R2-JB03-AM02,,L04PRC-R2-JB03,10B,,,L04PRC-R3-ASM01,0,0
112.6364,-67.2529,VBA-4E4A-KE5-ZEJQ_R,L04PRC-R3-JB01-AM01,,L04PRC-R3-JB01,9A,,,L04PRC-R3-ASM01,0,0
101.8364,-77.2529,VBA-4E-KE5-IL,L04PRC-R3-JB02-AM01,,L04PRC-R3-JB02,1,,,L04PRC-R3-ASM01,0,0
108.2364,-77.2529,VBA-4E-KE5-IL,L04PRC-R3-JB02-AM02,,L04PRC-R3-JB02,2,,,L04PRC-R3-ASM01,0,0
111.2364,-77.2529,VBA-4A-KE5-IJL_UJL,L04PRC-R3-JB02-AM03,,L04PRC-R3-JB02,16,,,L04PRC-R3-ASM01,0,0
101.8364,-89.5029,VBA-4E-KE5-IL,L04PRC-R3-JB02-AM04,,L04PRC-R3-JB02,7,,,L04PRC-R3-ASM01,0,0
118.6364,-77.2529,VBA-4A-KE5-IJL_UJL,L04PRC-R3-JB02-AM05,,L04PRC-R3-JB02,17,,,L04PRC-R3-ASM01,0,0
108.2364,-89.5029,VBA-4E4A-KE5-ZEJQ_E2L,L04PRC-R3-JB02-AM06,,L04PRC-R3-JB02,11A,,,L04PRC-R3-ASM01,0,0
